indent,names,kind,pop_mil,lat,lon,iana,gv_id
            ,tunisia,country,
                ,tunis,city,2.413,36.851,10.227,TUN,1790
                ,djerba,city,,33.875,10.776,DJE,1791
                ,enfidha,city,,36.076,10.439,NBE,1792
                ,sfax,city,0.453,34.718,10.691,SFA,1793
                ,tozeur,city,0.040,33.940,8.111,TOE,1794
                ,gabes,city,0.220,33.877,10.103,GAE,1795
            ,sudan,country,
                ,nyala,city,0.392,12.054,24.956,UYL,3010
                ,el obeid,city,0.393,13.153,30.233,EBD,3011
                ,addeain,city,,,,ADV,3012
                ,zalengei,city,,,,ZLX,3013
                ,el fasher,city,0.253,13.615,25.325,ELF,3014
                ,kassala,city,0.401,15.387,36.329,KSL,3015
                ,port sudan,city,0.490,19.434,37.234,PZU,3016
                ,khartoum,city,4.754,15.590,32.553,KRT,3017
                ,dongola,city,0.026,19.154,30.430,DOG,3018
                ,geneina,city,,13.482,22.467,EGN,3019
        ,western africa,region,
            ,niger,country,
                ,niamey,city,0.915,13.482,2.184,NIM,70
                ,agadez,city,0.118,16.966,8.000,AJY,71
                ,zinder,city,0.230,13.779,8.984,ZND,72
            ,ghana,country,
                ,sunyani,city,0.070,7.362,-2.329,NYI,99
                ,takoradi,city,,4.896,-1.775,TKD,100
                ,kumasi,city,1.646,6.715,-1.591,KMS,101
                ,tamale,city,0.361,9.557,-0.863,TML,102
                ,accra,city,2.121,5.605,-0.167,ACC,103
            ,cape verde|cabo verde,country,
                ,sao vicente island,city,,16.833,-25.055,VXE,133
                ,sao filipe,city,,14.885,-24.480,SFL,134
                ,sal island,city,,16.741,-22.949,SID,135
                ,sao nicolau island,city,,16.588,-24.285,SNE,136
                ,praia,city,0.113,14.925,-23.493,RAI,137
                ,boa vista island,city,,16.136,-22.889,BVC,138
            ,liberia,country,
                ,monrovia,city,1.041,6.234,-10.362,ROB,153
            ,burkina faso,country,
                ,bobo dioulasso,city,0.360,11.160,-4.331,BOY,273
                ,ouagadougou,city,1.149,12.353,-1.512,OUA,274
            ,mauritania,country,
                ,zouerate,city,0.056,22.756,-12.484,OUZ,280
                ,nema,city,0.200,16.622,-7.317,EMN,281
                ,nouadhibou,city,0.087,20.933,-17.030,NDB,282
                ,nouakchott,city,0.742,18.310,-15.970,NKC,283
            ,sierra leone,country,
                ,freetown,city,0.827,8.616,-13.195,FNA,490
            ,guinea,country,
                ,conakry,city,1.494,9.577,-13.612,CKY,495
            ,benin,country,
                ,cotonou,city,0.762,6.357,2.384,COO,717
            ,togo,country,
                ,lome,city,1.452,6.166,1.255,LFW,723
            ,nigeria,country,
                ,owerri,city,0.215,5.427,7.206,QOW,1408
                ,lagos,city,9.466,6.577,3.321,LOS,1409
                ,warri,city,0.830,5.596,5.818,QRW,1410
                ,gombe,city,0.270,10.298,10.896,GMO,1411
                ,kaduna,city,1.442,10.696,7.320,KAD,1412
                ,kano,city,3.140,12.048,8.525,KAN,1413
                ,enugu,city,0.689,6.474,7.562,ENU,1414
                ,benin city,city,1.190,6.317,5.600,BNI,1415
                ,ilorin,city,0.771,8.440,4.494,ILR,1416
                ,ibadan,city,2.628,7.362,3.978,IBA,1417
                ,katsina,city,0.432,,,DKA,1418
                ,maiduguri,city,0.896,11.855,13.081,MIU,1419
                ,jos,city,0.817,9.640,8.869,JOS,1420
                ,port harcourt,city,1.020,5.015,6.950,PHC,1421
                ,sokoto,city,0.732,12.916,5.207,SKO,1422
                ,yola,city,0.096,9.258,12.430,YOL,1423
                ,calabar,city,0.462,4.976,8.347,CBQ,1424
                ,asaba,city,,6.204,6.665,ABB,1425
                ,abuja,city,1.576,9.007,7.263,ABV,1426
            ,senegal,country,
                ,ziguinchor,city,0.192,12.556,-16.282,ZIG,1474
                ,dakar,city,2.604,14.740,-17.490,DKR,1475
                ,cap skiring,city,,12.395,-16.748,CSK,1476
            ,"gambia|gambia, the",country,
                ,banjul,city,0.043,13.338,-16.652,BJL,1554
            ,cote d'ivoire,country,
                ,ouango fitini,city,,,,OFI,2049
                ,abidjan,city,3.802,5.261,-3.926,ABJ,2050
            ,guinea bissau,country,
                ,bissau,city,0.403,11.895,-15.654,OXB,2579
            ,mali,country,
                ,bamako,city,1.494,12.534,-7.950,BKO,2919
        ,southern africa,region,
            ,namibia,country,
                ,ondangwa,city,,-17.878,15.953,OND,74
                ,katima mulilo,city,0.025,-17.634,24.177,MPA,75
                ,windhoek,city,0.268,-22.480,17.471,WDH,76
                ,walvis bay,city,,-22.980,14.645,WVB,77
                ,rundu,city,0.058,-17.956,19.719,NDU,78
                ,luderitz,city,0.015,-26.687,15.243,LUD,79
                ,oranjemund,city,0.008,-28.585,16.447,OMD,80
            ,botswana,country,
                ,maun,city,0.050,-19.973,23.431,MUB,217
                ,kasane,city,0.009,-17.833,25.162,BBK,218
                ,gaborone,city,0.208,-24.555,25.918,GBE,219
                ,francistown,city,0.090,-21.160,27.475,FRW,220
            ,south africa,country,
                ,george,city,0.175,-34.006,22.379,GRJ,625
                ,johannesburg,city,3.435,-26.139,28.246,JNB,626
                ,richards bay,city,,-28.741,32.092,RCB,627
                ,nelspruit,city,,-25.383,31.106,MQP,628
                ,polokwane,city,0.220,-23.845,29.459,PTG,629
                ,upington,city,0.071,-28.399,21.260,UTN,630
                ,umtata,city,0.138,-31.546,28.673,UTT,631
                ,east london,city,0.339,-33.036,27.826,ELS,632
                ,hoedspruit,city,,-24.369,31.049,HDS,633
                ,pietermaritzburg,city,0.751,-29.649,30.399,PZB,634
                ,cape town,city,3.215,-33.965,18.602,CPT,635
                ,sun city,city,,-25.334,27.173,NTY,636
                ,bloemfontein,city,0.463,-29.093,26.302,BFN,637
                ,phalaborwa,city,,-23.937,31.155,PHW,638
                ,durban,city,2.729,-29.614,31.120,DUR,639
                ,kimberley,city,0.165,-28.803,24.765,KIM,640
                ,port elizabeth,city,1.021,-33.985,25.617,PLZ,641
                ,ulundi,city,0.021,-28.321,31.417,ULD,642
            ,lesotho,country,
                ,maseru,city,0.361,-29.462,27.552,MSU,829
            ,swaziland,country,
                ,manzini,city,0.111,-26.529,31.308,MTS,2580
        ,eastern africa,region,
            ,mayotte,country,
                ,dzaoudzi,city,,-12.805,45.281,DZA,199
            ,tanzania,country,
                ,kigoma,city,0.164,-4.886,29.671,TKQ,201
                ,sumbawanga,city,0.089,,,SUT,202
                ,tanga,city,0.225,-5.092,39.071,TGT,203
                ,seronera,city,,-2.458,34.822,SEU,204
                ,kilimanjaro,city,,-3.429,37.075,JRO,205
                ,zanzibar,city,0.404,-6.222,39.225,ZNZ,206
                ,iringa,city,0.112,-7.669,35.752,IRI,207
                ,songea,city,0.126,-10.683,35.583,SGX,208
                ,tabora,city,0.146,-5.076,32.833,TBO,209
                ,mtwara,city,0.097,-10.339,40.182,MYW,210
                ,mwanza,city,0.494,-2.444,32.933,MWZ,211
                ,bukoba,city,0.101,-1.332,31.821,BKZ,212
                ,lake manyara,city,,-3.376,35.818,LKY,213
                ,mbeya,city,0.292,-8.920,33.274,MBI,214
                ,arusha,city,0.341,-3.368,36.633,ARK,215
                ,dar es salaam,city,2.930,-6.878,39.203,DAR,216
            ,ethiopia,country,
                ,mekele,city,0.096,13.467,39.534,MQX,226
                ,gambela,city,,8.129,34.563,GMB,227
                ,addis ababa,city,3.100,8.978,38.799,ADD,228
                ,dire dawa,city,0.252,9.625,41.854,DIR,229
                ,jimma,city,,7.666,36.817,JIM,230
                ,jijiga,city,0.057,9.332,42.912,JIJ,231
                ,humera,city,,14.250,36.583,HUE,232
                ,semera,city,,,,SZE,233
                ,inda selassie,city,,,,SHC,234
                ,axum,city,,14.147,38.773,AXU,235
                ,bahar dar,city,,11.608,37.322,BJR,236
                ,arba minch,city,,6.039,37.590,AMH,237
                ,gonder,city,0.156,12.520,37.434,GDQ,238
                ,gode,city,0.075,5.935,43.579,GDE,239
                ,kebri dehar,city,,6.734,44.253,ABK,240
                ,asosa,city,0.031,10.019,34.586,ASO,241
                ,lalibela,city,,11.975,38.980,LLI,242
            ,djibouti,country,
            ,seychelles,country,
                ,mahe island,city,,-4.674,55.522,SEZ,552
            ,burundi,country,
                ,bujumbura,city,0.332,-3.324,29.319,BJM,900
            ,zimbabwe,country,
                ,bulawayo,city,0.699,-20.017,28.618,BUQ,958
                ,victoria falls,city,0.036,-18.096,25.839,VFA,959
                ,harare,city,1.572,-17.932,31.093,HRE,960
            ,mozambique,country,
                ,beira,city,0.531,-19.796,34.908,BEW,961
                ,cuamba,city,0.073,-14.815,36.530,FXO,962
                ,nampula,city,0.389,-15.106,39.282,APL,963
                ,pemba,city,0.111,-12.992,40.524,POL,964
                ,nacala,city,,-14.488,40.712,MNC,965
                ,maputo,city,1.446,-25.921,32.573,MPM,966
                ,tete,city,0.129,-16.105,33.640,TET,967
                ,inhambane,city,0.116,-23.876,35.409,INH,968
                ,chimoio,city,0.257,-19.151,33.429,VPY,969
                ,lichinga,city,0.110,-13.274,35.266,VXC,970
                ,mocimboa da praia,city,,-11.362,40.355,MZB,971
                ,quelimane,city,0.189,-17.855,36.869,UEL,972
                ,vilankulos,city,,-22.018,35.313,VNX,973
            ,mauritius,country,
                ,rodrigues island,city,,-19.758,63.361,RRG,1197
            ,reunion,country,
                ,st denis,city,,-20.887,55.510,RUN,1232
            ,comoros,country,
                ,anjouan,city,,-12.132,44.430,AJN,1359
                ,moroni,city,0.129,-11.534,43.272,HAH,1360
            ,madagascar,country,
                ,ranohira,city,,,,RLR,1443
                ,morondava,city,0.037,-20.285,44.318,MOQ,1444
                ,nosy be,city,,-13.312,48.315,NOS,1445
                ,antsiranana,city,0.083,-12.349,49.292,DIE,1446
                ,maroantsetra,city,0.038,-15.437,49.688,WMN,1447
                ,sambava,city,0.043,-14.279,50.175,SVB,1448
                ,antananarivo,city,1.697,-18.797,47.479,TNR,1449
                ,mahajanga,city,0.155,-15.667,46.351,MJN,1450
                ,belo tsiribihina,city,,-19.687,44.542,BMD,1451
                ,toliara,city,0.115,-23.383,43.729,TLE,1452
                ,antalaha,city,0.047,-14.999,50.320,ANM,1453
                ,toamasina,city,0.210,-18.110,49.393,TMM,1454
                ,mananara avaratra,city,,-16.164,49.774,WMR,1455
                ,tolanaro,city,0.017,-25.038,46.956,FTU,1456
                ,ste marie,city,,-17.094,49.816,SMS,1457
                ,andavadoaka,city,,,,DVD,1458
            ,rwanda,country,
                ,kigali,city,0.860,-1.969,30.140,KGL,1543
                ,cyangugu,city,0.020,-2.462,28.908,KME,1544
            ,zambia,country,
                ,ndola,city,0.396,-12.998,28.665,NLA,1545
                ,mongu,city,0.053,-15.255,23.162,MNR,1546
                ,mansa,city,0.042,-11.137,28.873,MNS,1547
                ,kasama,city,0.200,-10.217,31.133,KAA,1548
                ,lusaka,city,1.328,-15.331,28.453,LUN,1549
                ,mfuwe,city,,-13.259,31.937,MFU,1550
                ,livingstone,city,0.165,-17.822,25.823,LVI,1551
                ,solwezi,city,0.065,,,SLI,1552
                ,chipata,city,0.086,-13.558,32.587,CIP,1553
            ,kenya,country,
                ,nanyuki,city,0.036,-0.062,37.041,NYK,1723
                ,eldoret,city,0.353,0.404,35.239,EDL,1724
                ,lodwar,city,0.020,3.122,35.609,LOK,1725
                ,wajir,city,0.046,1.733,40.092,WJR,1726
                ,meru,city,0.047,0.165,38.195,JJM,1727
                ,masai mara,city,,-1.406,35.008,MRE,1728
                ,lokichogio,city,,4.204,34.348,LKG,1729
                ,malindi,city,0.094,-3.229,40.102,MYD,1730
                ,samburu,city,,0.531,37.534,UAS,1731
                ,lamu,city,0.025,-2.252,40.913,LAU,1732
                ,kitale,city,0.150,0.972,34.959,KTL,1733
                ,amboseli,city,,-2.645,37.253,ASV,1734
                ,nakuru,city,0.365,,,NUU,1735
                ,kisumu,city,0.396,-0.086,34.729,KIS,1736
                ,mombasa,city,0.882,-4.035,39.594,MBA,1737
                ,nairobi,city,3.010,-1.319,36.928,NBO,1738
            ,south sudan,country,
                ,juba,city,0.112,4.872,31.601,JUB,2538
                ,rumbek,city,0.032,6.825,29.669,RBX,2539
            ,somalia,country,
                ,berbera,city,,10.389,44.941,BBO,2829
                ,bosaso,city,,11.275,49.149,BSA,2830
                ,mogadishu,city,1.100,2.014,45.305,MGQ,2831
                ,galcaio,city,,6.781,47.455,GLK,2832
                ,hargeisa,city,,9.518,44.089,HGA,2833
                ,baidoa,city,0.130,3.102,43.629,BIB,2834
                ,kisimayu,city,,-0.377,42.459,KMU,2835
            ,eritrea,country,
                ,asmara,city,0.621,15.292,38.911,ASM,2848
                ,massawa,city,0.143,15.670,39.370,MSW,2849
            ,malawi,country,
                ,likoma island,city,,-12.076,34.737,LIX,2869
                ,blantyre,city,0.585,-15.679,34.974,BLZ,2870
                ,chelinda,city,,,,CEH,2871
                ,lilongwe,city,0.647,-13.789,33.781,LLW,2872
            ,uganda,country,
                ,entebbe,city,0.175,0.042,32.444,EBB,3163
                ,kasese,city,0.067,0.183,30.100,KSE,3164
                ,arua,city,0.250,3.050,30.917,RUA,3165
                ,pakuba,city,,,,PAF,3166
    ,asia,continent,
        ,southern asia,region,
            ,bangladesh,country,
                ,saidpur,city,0.232,25.759,88.909,SPD,61
                ,sylhet,city,0.237,24.963,91.867,ZYL,62
                ,rajshahi,city,0.810,24.437,88.617,RJH,63
                ,cox's bazar,city,,21.452,91.964,CXB,64
                ,ishurdi,city,,24.153,89.049,IRD,65
                ,barisal,city,0.202,22.801,90.301,BZL,66
                ,jessore,city,0.244,23.184,89.161,JSR,67
                ,chittagong,city,4.529,22.250,91.813,CGP,68
                ,dhaka,city,12.797,23.843,90.398,DAC,69
            ,pakistan,country,
                ,karachi,city,12.130,24.907,67.161,KHI,105
                ,gilgit,city,0.217,35.919,74.334,GIL,106
                ,dalbandin,city,,28.878,64.400,DBA,107
                ,islamabad,city,0.780,33.561,72.852,ISB,108
                ,turbat,city,0.148,25.986,63.030,TUK,109
                ,sukkur,city,0.418,27.722,68.792,SKZ,110
                ,chitral,city,,35.887,71.801,CJL,111
                ,sui,city,,28.645,69.177,SUL,112
                ,panjgur,city,,26.955,64.132,PJG,113
                ,rahim yar khan,city,,28.384,70.280,RYK,114
                ,lahore,city,6.577,31.522,74.404,LHE,115
                ,dera ismail khan,city,0.102,31.909,70.897,DSK,116
                ,saidu sharif,city,1.860,34.814,72.353,SDT,117
                ,faisalabad,city,2.617,31.365,72.995,LYP,118
                ,peshawar,city,1.303,33.994,71.515,PEW,119
                ,kadanwari,city,,27.167,69.317,KCF,120
                ,quetta,city,0.768,30.251,66.938,UET,121
                ,mohenjodaro,city,,27.335,68.143,MJD,122
                ,hyderabad (pk),city,,25.318,68.366,HDD,123
                ,zhob,city,0.088,31.358,69.464,PZH,124
                ,sialkot,city,,32.536,74.364,SKT,125
                ,dadu,city,,,,DDU,126
                ,gwadar,city,0.052,25.233,62.329,GWD,127
                ,skardu,city,,35.335,75.536,KDU,128
                ,dera ghazi khan,city,0.236,29.961,70.486,DEA,129
                ,bahawalpur,city,0.553,29.348,71.718,BHV,130
                ,multan,city,1.522,30.203,71.419,MUX,131
                ,nawabshah,city,0.230,26.219,68.390,WNS,132
            ,nepal,country,
                ,bhairawa,city,,27.506,83.416,BWA,553
                ,jomsom,city,,28.780,83.723,JMO,554
                ,dolpa,city,,28.986,82.819,DOP,555
                ,janakpur,city,,26.709,85.922,JKR,556
                ,simikot,city,,29.971,81.819,IMK,557
                ,dhangarhi,city,,28.753,80.582,DHI,558
                ,simara,city,,27.160,84.980,SIF,559
                ,lukla,city,,27.687,86.730,LUA,560
                ,nepalganj,city,0.064,28.104,81.667,KEP,561
                ,surkhet,city,,28.586,81.636,SKH,562
                ,jumla,city,0.009,29.274,82.193,JUM,563
                ,tumlingtar,city,,27.315,87.193,TMI,564
                ,bharatpur,city,,27.678,84.429,BHR,565
                ,kathmandu,city,0.895,27.697,85.359,KTM,566
                ,biratnagar,city,0.182,26.482,87.264,BIR,567
                ,bhadrapur,city,,26.571,88.080,BDP,568
                ,pokhara,city,0.200,28.201,83.982,PKR,569
            ,sri lanka,country,
                ,batticaloa,city,0.129,7.706,81.679,BTC,754
                ,dickwella,city,,,,DIW,755
                ,kandy,city,0.112,,,KDZ,756
                ,trincomalee,city,0.108,,,THW,757
                ,colombo,city,0.217,7.181,79.884,CMB,758
            ,afghanistan,country,
                ,chaghcharan,city,,34.533,65.267,CCN,887
                ,maimanah,city,0.200,35.931,64.761,MMZ,888
                ,zaranj,city,0.050,30.972,61.866,ZAJ,889
                ,faizabad,city,0.065,37.121,70.518,FBD,890
                ,mazar e sharif,city,0.458,36.707,67.210,MZR,891
                ,kandahar,city,0.716,31.506,65.848,KDH,892
                ,herat,city,0.481,34.210,62.228,HEA,893
                ,farah,city,0.074,32.367,62.183,FAH,894
                ,camp bastion,city,,31.864,64.225,OAZ,895
                ,kunduz,city,0.260,36.665,68.911,UND,896
                ,bamyan,city,0.062,34.817,67.817,BIN,897
                ,kabul,city,3.277,34.566,69.212,KBL,898
                ,tarin kot,city,0.010,32.604,65.866,TII,899
            ,india,country,
                ,agatti island,city,,10.824,72.176,AGX,1039
                ,agra,city,1.592,27.156,77.961,AGR,1040
                ,jammu,city,0.791,32.689,74.837,IXJ,1041
                ,leh,city,,34.136,77.547,IXL,1042
                ,madurai,city,,9.835,78.093,IXM,1043
                ,bagdogra,city,,26.681,88.329,IXB,1044
                ,chandigarh,city,0.979,30.674,76.788,IXC,1045
                ,vishakhapatnam,city,1.529,17.721,83.225,VTZ,1046
                ,agartala,city,0.203,23.887,91.240,IXA,1047
                ,belgaum,city,0.609,15.859,74.618,IXG,1048
                ,allahabad,city,1.201,25.440,81.734,IXD,1049
                ,mangalore,city,0.777,12.961,74.890,IXE,1050
                ,silchar,city,0.152,24.913,92.979,IXS,1051
                ,aurangabad,city,1.113,19.863,75.398,IXU,1052
                ,chennai,city,7.163,12.990,80.169,MAA,1053
                ,port blair,city,0.128,11.641,92.730,IXZ,1054
                ,pune,city,4.672,18.582,73.920,PNQ,1055
                ,ranchi,city,1.044,23.314,85.322,IXR,1056
                ,jaipur,city,2.917,26.824,75.812,JAI,1057
                ,bhubaneshwar,city,0.844,20.244,85.818,BBI,1058
                ,patna,city,2.158,25.591,85.088,PAT,1059
                ,dimapur,city,,25.884,93.771,DMU,1060
                ,jabalpur,city,1.285,23.178,80.052,JLR,1061
                ,rajahmundry,city,0.305,17.110,81.818,RJA,1062
                ,coimbatore,city,1.696,11.030,77.043,CJB,1063
                ,porbandar,city,0.235,21.649,69.657,PBD,1064
                ,tiruchchirappalli,city,,10.765,78.710,TRZ,1065
                ,surat,city,3.842,21.114,72.742,STV,1066
                ,kanpur,city,,26.404,80.410,KNU,1067
                ,amritsar,city,1.212,31.710,74.797,ATQ,1068
                ,imphal,city,0.265,24.760,93.897,IMF,1069
                ,dharamsala,city,,32.165,76.263,DHM,1070
                ,goa,city,,15.381,73.831,GOI,1071
                ,aizawl,city,0.283,23.841,92.620,AJL,1072
                ,gorakhpur,city,0.674,26.740,83.450,GOP,1073
                ,vijayawada,city,,16.530,80.797,VGA,1074
                ,nanded,city,0.624,19.183,77.317,NDC,1075
                ,rupsi,city,,,,RUP,1076
                ,dibrugarh,city,0.166,27.484,95.017,DIB,1077
                ,diu,city,0.024,20.713,70.921,DIU,1078
                ,nagpur,city,2.454,21.092,79.047,NAG,1079
                ,hubli,city,0.890,15.362,75.085,HBX,1080
                ,srinagar,city,1.140,33.987,74.774,SXR,1081
                ,lucknow,city,2.695,26.761,80.889,LKO,1082
                ,kochi (in),city,,10.152,76.402,COK,1083
                ,thiruvananthapuram,city,0.954,8.482,76.920,TRV,1084
                ,bengaluru,city,6.787,13.198,77.706,BLR,1085
                ,udaipur,city,0.470,24.618,73.896,UDR,1086
                ,shillong,city,0.376,25.704,91.979,SHL,1087
                ,ludhiana,city,1.649,30.855,75.953,LUH,1088
                ,raipur,city,0.875,21.180,81.739,RPR,1089
                ,mumbai,city,18.978,19.089,72.868,BOM,1090
                ,tuticorin,city,0.436,,,TCR,1091
                ,jamnagar,city,,22.465,70.013,JGA,1092
                ,gwalior,city,0.978,26.293,78.228,GWL,1093
                ,hyderabad (in),city,,17.231,78.430,HYD,1094
                ,kolkata,city,14.787,22.655,88.447,CCU,1095
                ,kozhikode,city,,11.137,75.955,CCJ,1096
                ,mysore,city,0.887,12.230,76.656,MYQ,1097
                ,jodhpur,city,0.995,26.251,73.049,JDH,1098
                ,delhi,city,15.926,28.567,77.103,DEL,1099
                ,dehra dun,city,0.714,30.190,78.180,DED,1100
                ,ahmedabad,city,,23.077,72.635,AMD,1101
                ,jorhat,city,0.069,26.732,94.175,JRH,1102
                ,bhuj,city,0.289,23.288,69.670,BHJ,1103
                ,bhopal,city,1.727,23.288,77.337,BHO,1104
                ,bhavnagar,city,0.555,21.752,72.185,BHU,1105
                ,rajkot,city,1.260,22.309,70.780,RAJ,1106
                ,varanasi,city,1.352,25.452,82.859,VNS,1107
                ,pondicherry,city,,11.968,79.812,PNY,1108
                ,khajuraho,city,,24.817,79.919,HJR,1109
                ,kullu,city,,31.877,77.154,KUU,1110
                ,gaya,city,0.424,24.744,84.951,GAY,1111
                ,guwahati,city,0.983,26.106,91.586,GAU,1112
                ,tirupati,city,0.287,13.632,79.543,TIR,1113
                ,vadodara,city,1.756,22.336,73.226,BDQ,1114
                ,indore,city,2.026,22.722,75.801,IDR,1115
            ,bhutan,country,
